id,created_at,text,likes,in reply to,retweeted
1035904201514205184,2018-09-01 14:56:22,Alieno Arcanum: Barbaridad eléctrica | Noticias https://t.co/qaOMmWzXSI https://t.co/iIkqrNlH72,0,,False,
1030354098850340864,2018-08-17 07:22:14,https://t.co/4pRMiH9j4y,0,,False,
1025499633877958658,2018-08-03 21:52:20,MULTA MILLONARIA a Google de la UE por Android explicada a fondo - YouTube https://t.co/gF8pP6ICZi,0,,False,
1016634034624098304,2018-07-10 10:43:36,Here are 17 of the highest-paying jobs at Google https://t.co/BJTJs9HsAX via @BIEspana,0,,False,
1014141259139698688,2018-07-03 13:38:12,"En tu historial de correos se encuentran recibos de compra de todos los pedidos que hayas realizado, itinerarios de… https://t.co/PBghAgBRr1",1,srcaballero99,False,
1014141256971190272,2018-07-03 13:38:12,¿Alguna vez te has preguntado por qué una app para gestionar tus emails llega a costar 50 euros al año? Numerosas a… https://t.co/6YkUUlt1f7,2,,False,
1012666079271882752,2018-06-29 11:56:22,"Presentamos ""Fitbit Versa: Columpios impulsados por energía parental"" - YouTube https://t.co/2MgLJTkf1c",0,,False,
1007955531657568256,2018-06-16 11:58:20,(1) Minería Urbana y el FIN de los MATERIALES BARATOS - YouTube https://t.co/LJbBYkdYig,0,,False,
1007378326787411974,2018-06-14 21:44:43,Machine learning predicts World Cup winner - MIT Technology Review https://t.co/SDaDoMp7jg,1,,False,
1006123656743972864,2018-06-11 10:39:07,"(1) Trump says ""China"" 1.35 billion times. Which is the actual population of China. - YouTube https://t.co/MvgAgXhBwy",0,,False,
1004395228240007169,2018-06-06 16:10:57,(1) ¿Por Qué El Marxismo Es Tan Atractivo Entre Los Jóvenes? - YouTube https://t.co/6EDsjNnWpq,0,,False,
1003527152787247106,2018-06-04 06:41:32,💃🕺🏼 https://t.co/kjs5t3JPeC,0,,False,
1001397737362018305,2018-05-29 09:40:00,10 Questions and Answers about Ecosia - YouTube https://t.co/IrpKQSizS6,0,,False,
1000678407246630912,2018-05-27 10:01:38,Google’s The Selfish Ledger (leaked internal video) - YouTube https://t.co/UdG0Zk4w8P,0,,False,
999058379422216192,2018-05-22 22:44:13,"Hyperloop Transportation Technologies | HyperloopTT
https://t.co/YGdnl5bVIo https://t.co/2Sld2zAvlJ",0,,False,
998905715438866432,2018-05-22 12:37:35,Esta app hace que limpiar el planeta se convierta en un juego - YouTube https://t.co/jObVCpkCtE,0,,False,
998460366983254017,2018-05-21 07:07:56,Google se 'militariza' y sus empleados 'desertan' https://t.co/Bu9xlBD3z7,0,,False,
998247965826473984,2018-05-20 17:03:56,Does saving more lives lead to overpopulation? - YouTube https://t.co/1jeEFyZ7iX,0,,False,
997782583542013963,2018-05-19 10:14:40,"LO MAÑO / parodia de la canción ""Lo malo"" de Aitana y Ana Guerra. - YouTube https://t.co/2Z4p2xnNFX",1,,False,
997782308655595521,2018-05-19 10:13:34,"James Rhodes: “A lo mejor no me creéis, pero no os miento si os digo que en España todo es mejor” https://t.co/eFptA3T3LE",0,,False,
997180738209505280,2018-05-17 18:23:09,"Muy bueno Adblock Mobile
@AdblockMobile  https://t.co/oYT2DSbU9p",0,,False,
